gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
ADARB1,"adenosine deaminase, RNA-specific, B1 [Source:HGNC Symbol;Acc:226]",ENSG00000197381,ENSP00000441897,3,"A_deamin[1],dsrm[2]",family-289,"ADAD1,ADAD2,ADAR,ADAT1,ADARB1,ADARB2",ADAD1,"ADAD2[28,24],ADAR[24,11],ADAT1[18,21],ADARB1[25,19],ADARB2[24,19]",mRNA,mRNA,"This gene encodes the enzyme responsible for pre-mRNA editing of the glutamate receptor subunit B by site-specific deamination of adenosines. Studies in rat found that this enzyme acted on its own pre-mRNA molecules to convert an AA dinucleotide to an AI dinucleotide which resulted in a new splice site. Alternative splicing of this gene results in several transcript variants, some of which have been characterized by the presence or absence of an ALU cassette insert and a short or long C-terminal region. [provided by RefSeq, Jul 2008]",RNAmod,.,.,1,.,.,"GO:0003723,GO:0003725,GO:0003729,GO:0003726,GO:0006397,GO:0006396,GO:0016556","RNA binding,double-stranded RNA binding,mRNA binding,double-stranded RNA adenosine deaminase activity,mRNA processing,RNA processing,mRNA modification","GO:0003723,GO:0005515,GO:0046872,GO:0003725,GO:0003729,GO:0003726,GO:0004000,GO:0005634,GO:0005730,GO:0005654,GO:0045087,GO:0008285,GO:0010467,GO:0006397,GO:0006396,GO:0051726,GO:0030336,GO:0051607,GO:0006382,GO:0045070,GO:0044387,GO:0016556,GO:0016553","RNA binding,protein binding,metal ion binding,double-stranded RNA binding,mRNA binding,double-stranded RNA adenosine deaminase activity,adenosine deaminase activity,nucleus,nucleolus,nucleoplasm,innate immune response,negative regulation of cell proliferation,gene expression,mRNA processing,RNA processing,regulation of cell cycle,negative regulation of cell migration,defense response to virus,adenosine to inosine editing,positive regulation of viral genome replication,negative regulation of protein kinase activity by regulation of protein phosphorylation,mRNA modification,base conversion or substitution editing",.
ADARB2,"adenosine deaminase, RNA-specific, B2 [Source:HGNC Symbol;Acc:227]",ENSG00000185736,ENSP00000370713,3,"A_deamin[1],dsrm[2]",family-289,"ADAD1,ADAD2,ADAR,ADAT1,ADARB1,ADARB2",ADAD1,"ADAD2[28,24],ADAR[24,11],ADAT1[18,21],ADARB1[25,19],ADARB2[24,19]",mRNA,putative mRNA,10836796,.,RNAbinding,.,1,.,.,"GO:0003723,GO:0006396,GO:0003725,GO:0003727,GO:0006397","RNA binding,RNA processing,double-stranded RNA binding,single-stranded RNA binding,mRNA processing","GO:0003723,GO:0004000,GO:0006396,GO:0046872,GO:0003725,GO:0003727,GO:0005634,GO:0005737,GO:0005739,GO:0006397","RNA binding,adenosine deaminase activity,RNA processing,metal ion binding,double-stranded RNA binding,single-stranded RNA binding,nucleus,cytoplasm,mitochondrion,mRNA processing",.
ADAT1,"adenosine deaminase, tRNA-specific 1 [Source:HGNC Symbol;Acc:228]",ENSG00000065457,ENSP00000457501,1,A_deamin[1],family-289,"ADAD1,ADAD2,ADAR,ADAT1,ADARB1,ADARB2",ADAD1,"ADAD2[28,24],ADAR[24,11],ADAT1[18,21],ADARB1[25,19],ADARB2[24,19]",tRNA,tRNA,"The protein encoded by this gene, tRNA-specific adenosine deaminase 1, is responsible for the deamination of adenosine 37 to inosine in eukaryotic tRNA. Alternatively spliced transcript variants have been described. [provided by RefSeq, Jul 2010]",.,.,.,.,.,.,"GO:0003723,GO:0006396,GO:0008251,GO:0008033","RNA binding,RNA processing,tRNA-specific adenosine deaminase activity,tRNA processing","GO:0003723,GO:0004000,GO:0006396,GO:0046872,GO:0008251,GO:0008033","RNA binding,adenosine deaminase activity,RNA processing,metal ion binding,tRNA-specific adenosine deaminase activity,tRNA processing",.
ADAT2,"adenosine deaminase, tRNA-specific 2 [Source:HGNC Symbol;Acc:21172]",ENSG00000189007,ENSP00000237283,1,dCMP_cyt_deam_1[1],family-138,ADAT2,.,.,tRNA,tRNA,established RBP ,.,.,.,.,.,.,GO:0008033,tRNA processing,"GO:0008270,GO:0003824,GO:0016787,GO:0008033","zinc ion binding,catalytic activity,hydrolase activity,tRNA processing",.
ADAT3,"adenosine deaminase, tRNA-specific 3 [Source:HGNC Symbol;Acc:25151]",ENSG00000213638,ENSP00000473571,1,dCMP_cyt_deam_1[1],family-799,ADAT3,.,.,tRNA,tRNA,established RBP ,.,.,.,.,.,.,GO:0008033,tRNA processing,"GO:0008270,GO:0003824,GO:0016787,GO:0008033","zinc ion binding,catalytic activity,hydrolase activity,tRNA processing"," MENTAL RETARDATION, AUTOSOMAL RECESSIVE 36; MRT36"
AEN,apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:25722],ENSG00000181026,ENSP00000453631,1,RNase_T[1],family-814,"AEN,ISG20L2,ISG20,REXO4",AEN,"ISG20L2[38,35],ISG20[29,52],REXO4[25,19]",diverse,putative diverse,by homology,.,.,.,.,1,.,GO:0004527,exonuclease activity,"GO:0003676,GO:0004527,GO:0005634,GO:0005730,GO:0005654,GO:0010212,GO:0042771","nucleic acid binding,exonuclease activity,nucleus,nucleolus,nucleoplasm,response to ionizing radiation,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",.
AFF1,"AF4/FMR2 family, member 1 [Source:HGNC Symbol;Acc:7135]",ENSG00000172493,ENSP00000378578,1,AF-4[1],family-333,"AFF1,AFF4,AFF2,AFF3",AFF1,"AFF4[38,39],AFF2[31,29],AFF3[31,30]",mRNA,putative mRNA,21330300,.,.,.,.,.,.,.,.,"GO:0005634,GO:0045893,GO:0003700,GO:0005515","nucleus,positive regulation of transcription, DNA-dependent,sequence-specific DNA binding transcription factor activity,protein binding",.
AFF2,"AF4/FMR2 family, member 2 [Source:HGNC Symbol;Acc:3776]",ENSG00000269754,ENSP00000472279,1,AF-4[1],family-333,"AFF1,AFF4,AFF2,AFF3",AFF1,"AFF4[38,39],AFF2[31,29],AFF3[31,30]",mRNA,putative mRNA,21330300,.,.,.,.,.,.,"GO:0002151,GO:0006397,GO:0008380,GO:0043484","G-quadruplex RNA binding,mRNA processing,RNA splicing,regulation of RNA splicing","GO:0002151,GO:0016607,GO:0007420,GO:0007611,GO:0006397,GO:0008380,GO:0043484","G-quadruplex RNA binding,nuclear speck,brain development,learning or memory,mRNA processing,RNA splicing,regulation of RNA splicing"," MENTAL RETARDATION, X-LINKED, ASSOCIATED WITH FRAGILE SITE FRAXE"
AFF3,"AF4/FMR2 family, member 3 [Source:HGNC Symbol;Acc:6473]",ENSG00000144218,ENSP00000411383,1,AF-4[1],family-333,"AFF1,AFF4,AFF2,AFF3",AFF1,"AFF4[38,39],AFF2[31,29],AFF3[31,30]",mRNA,putative mRNA,21330300,.,.,.,.,.,.,.,.,"GO:0003690,GO:0005634,GO:0005730,GO:0006351,GO:0006355,GO:0035116,GO:0034612","double-stranded DNA binding,nucleus,nucleolus,transcription, DNA-templated,regulation of transcription, DNA-dependent,embryonic hindlimb morphogenesis,response to tumor necrosis factor",.
AFF4,"AF4/FMR2 family, member 4 [Source:HGNC Symbol;Acc:17869]",ENSG00000072364,ENSP00000395268,1,AF-4[1],family-333,"AFF1,AFF4,AFF2,AFF3",AFF1,"AFF4[38,39],AFF2[31,29],AFF3[31,30]",mRNA,putative mRNA,21330300,.,.,.,.,.,.,.,.,"GO:0005634,GO:0007286,GO:0003700,GO:0005515,GO:0005739,GO:0005730,GO:0006366","nucleus,spermatid development,sequence-specific DNA binding transcription factor activity,protein binding,mitochondrion,nucleolus,transcription from RNA polymerase II promoter",.
AGFG1,ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:5175],ENSG00000173744,ENSP00000312059,1,ArfGap[1],family-847,"AGFG1,AGFG2",AGFG1,"AGFG2[36,44]",mRNA,mRNA,7634337,.,.,.,.,.,.,"GO:0003723,GO:0006406","RNA binding,mRNA export from nucleus","GO:0043231,GO:0005794,GO:0003723,GO:0005515,GO:0008270,GO:0003677,GO:0008060,GO:0005643,GO:0016023,GO:0030154,GO:0007275,GO:0007283,GO:0032312,GO:0006406,GO:0043025,GO:0042995,GO:0001675,GO:0045109,GO:0007289","intracellular membrane-bounded organelle,Golgi apparatus,RNA binding,protein binding,zinc ion binding,DNA binding,ARF GTPase activator activity,nuclear pore,cytoplasmic membrane-bounded vesicle,cell differentiation,multicellular organismal development,spermatogenesis,regulation of ARF GTPase activity,mRNA export from nucleus,neuronal cell body,cell projection,acrosome assembly,intermediate filament organization,spermatid nucleus differentiation",.
AGO1,"eukaryotic translation initiation factor 2C, 1 [Source:HGNC Symbol;Acc:3262]",ENSG00000092847,ENSP00000362300,3,"DUF1785[1],PAZ[1],Piwi[1]",family-516,"AGO1,AGO2,AGO3,AGO4",AGO1,"AGO2[82,82],AGO3[85,84],AGO4[84,83]",ncRNA,miRNA/mRNA,established RBP ,translationfactor,.,.,1,.,.,"GO:0003723,GO:0000932,GO:0030529,GO:0035068,GO:0000956","RNA binding,cytoplasmic mRNA processing body,ribonucleoprotein complex,micro-ribonucleoprotein complex,nuclear-transcribed mRNA catabolic process","GO:0005515,GO:0003723,GO:0003676,GO:0005737,GO:0005829,GO:0000932,GO:0030529,GO:0005844,GO:0035068,GO:0006351,GO:0038095,GO:0045087,GO:0006355,GO:0048015,GO:0010467,GO:0007219,GO:0008543,GO:0007173,GO:0048011,GO:0035278,GO:0000956","protein binding,RNA binding,nucleic acid binding,cytoplasm,cytosol,cytoplasmic mRNA processing body,ribonucleoprotein complex,polysome,micro-ribonucleoprotein complex,transcription, DNA-templated,Fc-epsilon receptor signaling pathway,innate immune response,regulation of transcription, DNA-dependent,phosphatidylinositol-mediated signaling,gene expression,Notch signaling pathway,fibroblast growth factor receptor signaling pathway,epidermal growth factor receptor signaling pathway,neurotrophin TRK receptor signaling pathway,negative regulation of translation involved in gene silencing by miRNA,nuclear-transcribed mRNA catabolic process",.
